DEP;PC1;PC2;PC3;PC4;PC5;PC6;PC7
0;-0.76232;-0.06168;-0.35125;0.76935;0.35186;-0.13179;-0.1075
0;-0.16217;-0.33066;-0.48377;1.68619;0.24222;-0.08004;0.40006
0;-0.07213;0.70416;-0.60519;1.19457;-0.0619;-0.08542;0.31393
0;-0.3407;-0.69177;-0.46895;1.27424;0.34162;-0.02238;0.00153
0;-0.32891;0.16372;-0.65909;1.28306;0.19655;-0.00291;0.22473
0;0.75455;-0.36285;-0.55288;-1.23358;-0.30819;-0.04321;-0.14494
0;4.33349;0.03705;0.04093;-0.37981;-0.13206;1.2689;0.00126
0;0.46346;-0.37141;-0.26887;-1.32137;-0.32497;-0.07733;0.01376
0;1.08045;-0.33082;0.08819;-1.12226;-0.1496;0.31898;0.27105
0;-0.8981;-1.4073;0.12239;1.42271;-0.63814;0.20927;-0.20526
0;-1.69345;1.65488;-0.43806;1.63295;-0.72051;0.13629;-0.47378
0;-1.31219;-0.85958;0.13545;1.50452;-0.92664;0.24624;-0.13305
0;-0.83913;0.46226;-0.0844;1.6862;-1.81723;0.04553;-0.16356
0;-2.115;0.15218;-0.40867;1.64676;-2.11939;-0.2231;-0.59513
0;-2.07793;0.22645;-0.4691;1.23538;-0.67509;0.03722;-0.6211
0;-1.99081;0.03208;-0.67108;1.50582;-0.32932;0.10754;-0.56383
0;-2.13796;0.94368;-0.55697;1.3775;-0.4014;0.10895;-0.66977
0;-1.40175;0.56864;0.3565;1.48859;0.36862;0.89296;0.69212
0;-1.42345;-0.0635;0.68118;1.11222;0.37182;0.64899;0.40441
0;-1.67157;-0.08018;1.29112;0.93858;-0.11393;0.55764;0.1399
0;-1.81188;0.45457;1.18298;0.84942;0.50008;0.90134;0.32827
0;-0.57743;-0.50222;1.17196;1.02747;0.52522;0.10258;0.14146
0;-0.89723;0.10283;1.53147;0.78189;0.27591;0.02424;-0.17926
0;-0.97914;0.02886;1.03299;0.78582;0.41299;-0.08008;-0.21891
0;-0.80643;-0.2221;1.649;1.01223;-0.07509;0.00398;0.03312
0;-1.92756;-0.67094;0.10352;0.04515;-0.10378;-0.08598;-0.48786
0;-1.61167;-0.23922;0.16839;0.9674;-0.28112;0.21686;0.14384
0;-1.49578;-0.5929;0.16599;0.14559;0.33274;0.0402;-0.12407
0;-1.76279;-0.14765;0.13901;0.59176;-0.36243;0.09056;-0.13597
0;-2.7621;-0.81438;0.11843;-0.38171;0.34331;-0.57854;0.16531
0;-1.70321;-0.6181;-0.08853;0.06289;0.34397;-0.28361;0.53388
0;-2.78498;-0.78059;-1.5815;-0.73308;0.26752;-0.44466;-0.54555
0;-3.09168;-0.85876;-1.00207;-0.64645;0.25442;-0.51223;-0.39593
0;-0.43319;-0.59545;-0.67844;0.30903;0.12153;-0.36393;0.49039
0;1.26747;-0.71563;-1.45105;-0.23552;-0.04137;-0.09686;0.14529
0;0.04798;-0.69463;-0.7219;-0.08952;-0.03572;-0.23116;0.22261
0;-0.06873;-0.89299;-0.74647;-0.0714;0.09864;-0.21959;0.28464
0;0.09218;-0.23145;-0.13862;0.19061;0.11426;0.9082;0.2961
0;0.11884;-0.71806;-0.401;0.15058;0.12085;1.11909;-0.09144
0;-0.23908;-0.2982;-0.68805;0.06309;0.25294;1.03202;0.69698
0;-0.14069;-0.69837;-0.44053;-0.08634;0.05564;0.98321;0.00932
0;0.38569;-0.43567;0.39202;0.3367;0.18055;0.17565;0.48201
0;0.10724;-0.45707;-0.52303;-1.27746;0.00606;0.16849;0.59761
0;-0.24085;-0.71956;-1.57291;-2.17277;-0.27789;0.48448;0.96177
0;0.48882;-0.49414;-0.02526;-0.37482;-0.03088;-0.11069;0.15054
0;-0.27277;-0.67372;0.81718;-1.25338;-0.07173;0.02858;0.36701
0;-0.3854;-0.70782;0.16439;-1.01139;-0.22345;0.11742;0.47518
0;0.34556;-0.67479;0.42861;-1.35549;-0.10764;-0.10084;0.54331
0;-0.59699;-0.74459;0.46347;-0.98742;-0.31497;0.12458;0.25638
0;-2.2101;0.46116;-0.43839;1.80587;0.11924;0.28644;-0.81134
0;-1.96162;0.00424;-0.81574;2.19934;-1.18657;-0.01566;-0.39978
0;-1.88666;0.51288;0.21206;1.81794;0.18683;0.3498;-0.80115
0;-1.8482;-1.18295;-0.72069;2.02767;-0.43336;0.10736;-0.40434
0;1.17224;-0.5905;-0.57769;-0.44342;-0.26624;-0.34385;-0.324
0;0.60023;-0.31247;-0.20087;-0.20305;-0.12138;-0.08678;-0.13163
0;1.20691;-0.3071;-0.35326;-0.64891;-0.18437;-0.27667;-0.24454
0;-0.13262;-0.59877;-0.32619;-0.56672;-0.03215;-0.11725;-0.05683
0;-2.16699;0.32205;0.9613;-0.82758;0.26419;-0.58924;-0.71985
0;-0.4605;-0.4896;1.1344;-0.12061;-0.30659;-0.48014;-0.59259
0;-1.21219;-0.71746;0.78371;-0.2661;-0.24284;-0.49771;-0.47769
0;0.01397;-0.79662;0.94398;-0.19201;-0.05831;-0.7143;-0.8154
0;2.07877;-0.44174;-0.01596;-0.30318;0.05852;0.15983;0.17444
0;2.58368;-0.3296;0.16307;-0.56768;0.11662;-0.20407;0.94478
0;2.02163;-0.53441;-0.04836;-0.31192;0.06427;0.11133;0.04758
0;2.31547;-0.39682;-0.02201;-0.4206;0.07462;-0.07023;0.27436
0;0.12911;1.92101;0.64399;0.19483;-1.34869;0.07502;0.57777
0;0.28242;0.31067;-1.11517;-0.07532;-0.32757;0.03241;0.64008
0;-0.18786;1.71662;0.04985;0.3212;-1.91593;-0.1059;0.60853
0;-1.09301;-0.23044;0.23194;0.02613;0.28323;0.12199;0.2309
0;0.14447;-0.75414;-0.515;0.24457;-0.02283;0.38866;-0.09922
0;-0.23728;-0.83313;-0.51148;0.25677;0.13726;0.12356;-0.01651
0;0.5729;-0.80074;-0.499;-0.01871;-0.08767;0.37875;-0.07977
0;-0.27672;-0.73414;-0.56286;0.22009;-0.09565;0.23008;-0.03383
0;2.65783;-0.07466;-1.14436;-0.10286;-0.37287;0.31855;-0.3471
0;0.48083;-0.13326;-0.67873;-0.10004;0.3498;-0.23549;-0.04806
0;0.27713;-0.62156;-0.22305;0.18265;0.01047;-0.27185;-0.10293
0;0.11348;-0.63381;-0.60893;-0.0295;-0.02856;-0.33154;0.02111
0;0.00506;-0.03444;-0.63343;0.54576;-0.22746;0.74408;-0.09705
0;-0.30367;-0.65248;-0.54022;0.12328;0.08641;0.57574;-0.36038
0;0.16459;-0.38904;-0.88778;0.66112;0.55521;0.79299;-0.06631
0;0.07228;-0.16785;-0.9124;0.77514;0.28362;0.85916;-0.00825
0;-0.57989;-0.33291;-0.38181;-0.59246;0.02474;0.43823;0.67312
0;-1.45339;-0.38967;-0.2871;-0.89637;-0.09738;0.03527;0.79644
0;-1.47313;-0.74287;-0.21491;-1.05456;-0.00154;0.05974;0.77667
0;-2.19437;-0.8461;-0.4332;-1.10979;0.14891;-0.07423;0.90911
0;2.70674;-0.48341;-0.35039;-0.08973;-0.05622;-0.00773;0.08518
0;1.85744;-0.05338;-0.55064;-0.04474;-0.37811;-0.07407;0.17748
0;0.59029;-0.27407;-0.50418;-0.40597;0.22413;-0.06967;0.14789
0;0.22307;-0.02819;-0.78222;-0.47322;0.38176;0.27737;0.22108
1;2.29791;-0.24138;-0.31;-0.2816;-0.14346;0.79656;0.86368
