PC7,PC6,PC5,PC4,PC3,PC2,PC1
0.35922,-0.18158,0.23545,-1.23726,0.26570,0.93979,-1.93511
-0.02347,-1.01026,-0.07258,-1.57862,-2.61176,-1.13126,-1.90362
0.92414,0.66261,-1.45714,-0.25787,0.77227,1.12111,0.16074
0.27731,-0.32586,0.07041,0.04921,-0.29691,1.03926,-0.10227
0.56181,-0.40022,-0.06964,-1.09578,-0.19339,0.38826,-0.01209
-0.04208,-0.25189,-0.24817,0.46963,-0.17143,-0.75097,-0.83874
0.05307,-0.17128,-0.07903,-0.81702,-0.78846,-1.01239,-1.25915
0.08029,-0.24582,-0.15094,-0.81154,-0.49945,-0.93030,-0.61989
-0.07496,-0.33981,-0.05160,-0.22041,0.29748,-0.41273,-0.52390
0.25208,-0.57647,0.70852,0.30326,-0.49252,-0.33943,-1.74153
0.70213,0.03891,-0.05202,-0.72223,0.01860,-0.69587,-0.31886
0.08081,0.01277,-0.13455,0.11256,0.41398,-0.71397,2.53260
-0.31250,0.84520,0.18108,-0.45897,0.12566,0.09255,0.33787
-0.20373,1.03488,0.70283,0.37024,0.78821,0.06857,-2.26724
0.11939,0.45307,0.15371,0.52954,1.77566,-0.12656,2.83077
0.97614,0.18944,-0.35598,0.12677,-1.16433,3.52657,3.78667
-0.71012,0.20745,0.06052,-1.01440,-0.47980,0.13767,2.33005
0.55986,-0.02666,0.08889,0.68200,0.25944,0.45861,0.24886
0.89674,-0.05435,-3.15534,0.19036,0.30148,3.49907,-3.42629
-0.37536,-0.03533,-0.07289,-0.30569,1.96780,-0.40148,2.55243
-0.36219,-0.02761,-0.30299,-0.21434,0.84326,-0.17018,1.24992
-0.12550,0.57368,0.01982,0.29371,-0.58501,-0.68960,0.06074
0.02458,-0.70782,0.15056,0.61767,0.73389,-0.65056,-1.30393
-0.37536,-0.03533,-0.07289,-0.30569,1.96780,-0.40148,2.55243
-0.14230,-1.02626,0.11094,0.34394,-1.04527,-0.16630,0.11209
-0.27985,-1.00721,0.18029,-0.47397,0.14310,0.63075,2.29601
0.48281,0.20817,0.29156,0.37657,-1.19952,-0.32418,2.66662
-0.16064,-0.11377,-0.41504,0.48685,-0.04575,-0.21495,0.74770
0.49393,-0.13438,0.16065,-0.03964,0.99480,-0.03302,3.82969
0.08753,0.20520,-0.20632,0.34289,0.03560,-0.62658,1.06226
0.18589,0.07323,0.18760,0.41778,1.63421,-0.08558,2.02315
-0.33524,0.02101,0.27129,-0.22202,0.32414,-0.43883,0.78298
-0.21210,0.34101,0.65890,0.35277,-0.21254,-0.28465,-0.17784
0.16584,-0.19712,0.19799,-1.23385,0.11286,0.56523,-1.73547
0.37218,-0.29197,-0.17930,-0.78637,-0.40975,-0.88418,-0.41314
-0.51652,-0.81706,0.05593,-0.30343,0.16271,0.28554,0.13109
-0.24656,0.74288,-0.39683,-0.59960,-0.37757,-0.49096,1.72502
-0.63946,0.81342,-0.08035,0.60116,0.69881,-0.57178,2.69498
-0.15242,0.11348,0.74614,0.68989,0.85507,0.04665,1.73835
0.28240,0.19014,-0.39494,-1.06161,-0.04467,-0.29791,2.72250
0.60254,0.22730,0.38030,-0.16443,-0.60196,4.76040,4.51050
0.13329,-0.27873,0.46562,-0.38627,-0.07444,-0.30949,-0.46188
-0.24379,0.77343,-0.22891,-0.65789,-0.79735,-0.55480,1.63323
0.06780,0.11401,-0.00787,-0.42145,0.06304,-0.47811,1.94922
-0.23319,0.07047,0.44746,0.58023,0.40142,0.67232,-1.44095
-0.44466,0.26873,0.52709,-0.18405,-0.00985,-0.00065,-0.37271
0.59436,-1.36954,1.40513,1.78141,-0.39994,0.19000,1.32718
0.23480,-0.33336,0.01263,0.31170,0.43361,-0.77692,0.45727
0.36769,0.12010,-0.16124,-0.83622,0.00935,-0.74335,-0.32805
-0.96108,-0.71462,-0.37862,-0.20943,1.60613,-0.20469,0.47125
-0.08018,-0.08342,0.08610,1.19384,-0.41604,-0.12087,-0.57755
-0.55078,1.01962,-0.00101,0.76625,1.18844,0.12366,0.00253
-0.19674,0.21599,-1.36768,-1.43403,-0.75454,4.07938,-2.96143
-0.00630,0.80232,-1.38314,0.88101,-1.60045,0.20538,-0.98498
-0.05709,0.27971,-0.49677,0.17957,-0.71106,0.37889,0.13397
-0.07716,-0.57303,0.06066,-0.24657,0.18928,-0.87226,-1.42431
0.25693,-0.80708,-3.97296,-0.27038,-0.58781,13.05270,-1.99652
0.10526,0.56488,-0.23145,0.15694,1.01690,-0.43807,2.43969
-0.29928,0.09967,0.25162,-0.22805,0.19786,-0.24258,0.96638
0.29622,-0.11184,0.30188,0.29382,-0.01996,-0.29553,-0.72298
-0.23267,0.22239,0.33626,0.60372,-0.91783,-0.77536,-1.93309
-0.67547,-0.56955,-0.56500,-1.85494,1.35960,-0.06802,1.19710
-0.46002,0.00480,0.39465,0.50978,-0.43601,-0.42388,-0.40610
-0.97486,-0.12659,-0.32165,-0.13575,2.20111,-0.42957,-1.72351
0.29248,0.05802,0.09506,0.52190,1.49815,-0.25690,2.11367
0.38044,-0.58618,-1.04059,0.94908,-0.71982,1.33561,-2.01500
0.24528,0.31805,0.28861,0.75326,-0.92067,-0.65899,-0.32833
-0.48232,-0.61410,-0.98990,0.01326,-0.54692,-0.32103,-1.09522
-0.43309,-0.18370,-0.07335,0.53716,0.57651,-0.83826,1.20421
-0.27948,-0.01715,0.01729,0.19828,0.48221,-0.39568,0.17853
0.51272,0.21918,0.26431,0.70819,0.17742,-0.36179,0.25839
0.15739,-0.36257,-0.49006,1.75468,-0.76206,1.20549,-1.62981
0.76781,-0.09204,-2.22474,0.32952,0.36224,1.24549,-1.98362
-0.30921,0.45296,0.04415,0.74449,1.08885,-0.47564,2.32939
-0.33125,0.50255,0.29454,0.43779,-0.49223,-0.43777,0.64411
0.00349,-0.18683,2.85266,-0.36911,-0.55790,2.27960,0.62574
-0.10235,-0.32696,0.58511,0.94237,-0.72624,-0.45477,0.41380
-0.66929,-0.00875,0.65592,1.11736,0.03461,0.07812,1.76507
0.33648,-0.05500,-3.09619,1.51807,-0.12089,6.04226,-0.64848
0.16624,0.04122,1.56400,-0.30625,-0.45019,1.35837,-0.54717
0.11230,0.65749,2.95163,-0.94167,-0.05948,6.18122,2.15323
