ETIQUETA;N;E;PC9;PC8;PC7;PC6;PC5;PC4;PC3;PC2;PC1
1;883382.729;168028.0668;-0.58057;-0.38609;0.07338;0.00129;-0.27619;-0.86096;1.2506;-0.9838;2.45139
1;931456.3015;184239.1864;-0.17985;-0.63367;0.36047;0.19235;0.63149;0.0796;0.04571;0.3368;2.58319
1;894136.4475;294270.2029;0.51121;0.46657;0.24459;-0.29457;0.33909;-0.80201;-1.43024;-0.50946;-2.31818
1;933752.0942;255219.1577;-0.00118;0.49886;-1.34356;-0.56639;-0.76181;-0.85482;-0.74492;0.89809;-0.96423
1;911819.6017;214605.4917;-0.68058;-0.56273;-0.38434;0.86422;0.06976;-0.35644;-0.83089;0.06148;2.71736
1;890045.8313;197247.3139;-0.59242;-0.05884;0.45317;0.28368;-0.72815;0.01099;0.13745;-0.395;0.34455
1;901680.5118;297104.1885;0.95373;0.67946;0.3283;-0.4559;-0.51857;-0.64897;-0.29057;-0.96903;-1.88788
1;871003.179;269854.8926;0.00557;-0.98226;-0.29473;-0.52885;0.83173;-0.75869;-1.16407;1.16246;-2.35309
1;882612.071;180060.5583;0.22135;-0.37727;-0.18794;-0.53711;-0.17602;-1.03195;0.73351;-0.27816;0.84827
1;872013.7859;186555.2463;-0.33549;0.55202;-0.23647;-0.90246;1.36761;-1.12671;1.84598;-0.83133;-0.34637
1;877375.7097;176919.1022;0.10787;0.32141;-0.33557;-0.39304;-0.01118;-1.2302;1.97537;-0.48959;-0.01206
1;845734.1482;166410.7955;-0.29791;-0.41255;0.39427;0.35235;-1.95726;-0.11687;0.19985;-0.57413;0.65043
1;899850.8344;170494.6808;-0.39706;-0.71509;-0.32465;-0.15633;-0.00005;-0.66625;1.43883;-1.3603;4.16089
1;901054.7871;214331.809;0.62008;0.72092;0.04659;1.29508;-2.22203;0.54233;-0.13687;0.14869;4.41432
1;943515.9452;220826.5677;0.30446;0.60699;0.6215;-0.55971;-0.07334;0.58497;-0.72617;0.05518;1.15098
1;872862.9879;287395.5975;0.15953;0.62089;0.49367;-0.16172;-0.03003;-0.6957;-0.66193;0.58826;-1.0591
1;876064.723;179705.0259;0.06424;0.44986;-0.12106;-0.58261;0.34108;-1.29677;1.38157;-0.92399;-0.46711
1;850993.2893;190942.7812;-0.20514;0.24009;0.17678;-0.32628;-0.60893;-1.74189;3.4136;-2.76945;-0.30079
1;972562.7519;199779.9184;0.58425;-0.51352;0.73542;-1.05908;0.02116;-0.79916;0.00283;-0.42119;0.79301
1;931665.818;198120.9582;-0.1426;-0.45918;0.01139;0.39882;0.68259;-0.33663;-0.22708;-0.1464;2.57523
1;930942.3802;164753.5578;-0.7472;0.28204;-0.80549;0.21407;1.24902;-0.74419;-0.47141;1.45912;2.17999
1;880068.7616;288465.2611;0.3705;0.62831;0.31752;0.1622;-0.33163;-0.2275;-0.43411;1.97129;-2.12604
1;875048.6062;265011.4831;-0.02996;-0.63811;0.79745;0.88022;1.19839;-1.10286;0.57114;3.43119;0.04429
1;921141.6212;192813.9299;0.1842;1.48191;1.52641;1.52987;0.24809;0.21397;0.35379;2.34419;6.96195
1;882807.6761;262970.8374;-0.95529;-0.11458;-0.32562;-0.54355;-0.28262;-1.15522;-0.35402;0.09352;-1.92575
1;942171.0479;215144.5318;-0.1379;0.08838;0.5379;0.17379;-1.17917;-0.89634;-1.34278;0.19375;-0.23335
1;955015.1357;290259.8904;0.39191;0.09628;-0.32796;0.85118;0.2809;-2.01375;-0.9243;-0.76411;-0.71929
1;867120.2084;249221.234;-0.64895;0.68601;-0.77292;1.022;-1.05261;-1.30689;-0.37437;1.59289;-0.71132
1;963201.3488;189574.2912;-0.08773;-0.66384;0.38791;0.23042;0.05473;-0.34712;-0.96942;0.14548;-0.12487
1;852796.7895;164990.5303;-0.33997;-0.40511;0.64268;-0.96718;-0.43074;-0.39395;0.73193;-0.99641;0.68927
